epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4733,1.45662,2.36923,1.46687,0.01894,0.16792,0.09796,0.04769,1.86841,3.23061,1.15611,0.000546704,0.000546704,0.000546704
2,46.7237,1.52075,1.5786,1.44543,0.42601,0.23855,0.33877,0.14402,1.98474,1.89227,1.26546,0.00109146,0.00109146,0.00109146
3,67.3924,1.51497,1.56279,1.49727,0.32658,0.32105,0.34182,0.14327,1.89917,1.39552,1.27738,0.00162521,0.00162521,0.00162521
4,89.4753,1.49592,1.44328,1.49701,0.31427,0.2741,0.29999,0.12446,1.98005,1.37629,1.2748,0.00161749,0.00161749,0.00161749
5,110.008,1.53186,1.36569,1.46929,0.19363,0.19337,0.16808,0.06192,1.99442,2.00689,1.33322,0.00160099,0.00160099,0.00160099
6,132.145,1.54665,1.30301,1.45771,0.72947,0.53399,0.58039,0.23775,1.92902,1.31887,1.27136,0.00158448,0.00158448,0.00158448
7,152.768,1.46289,1.21289,1.43218,0.72382,0.53058,0.59972,0.24924,1.8544,1.34912,1.2345,0.00156798,0.00156798,0.00156798
8,175.002,1.45083,1.13149,1.42488,0.54278,0.54453,0.54557,0.21765,1.90413,1.15269,1.2832,0.00155148,0.00155148,0.00155148
9,195.398,1.40241,1.07394,1.38009,0.44337,0.39893,0.3786,0.14193,1.88978,1.30236,1.24775,0.00153497,0.00153497,0.00153497
10,216.783,1.43911,1.07592,1.3897,0.75892,0.49438,0.56927,0.25483,1.89122,1.20043,1.25489,0.00151847,0.00151847,0.00151847
11,237.935,1.39559,1.0074,1.39781,0.79219,0.54647,0.60243,0.25927,1.79294,1.07884,1.21038,0.00150197,0.00150197,0.00150197
12,259.741,1.38661,0.99222,1.37512,0.80971,0.52961,0.57634,0.2308,1.93988,1.11052,1.27226,0.00148546,0.00148546,0.00148546
